ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0074,0,1,아기가,너무,좋아요,자꾸,열어서,19.72,10.69,10.38,8.82,7.53
ANAL-211104-0074,1,1,스티커부분도 튼튼하고 연결부분도 좋은데요,천재소년에겐안통해여울애기16갤아기가 하도 여기저기를 열어서 닫아보려고 구매했어요근데요,첨엔 좋았는데 애가 두돌쯤 되니 막 흔들어대서 부서졌네요,쓰기도 안 쓰기도 참 찝찝한상품 후기가 좋아서 믿고 샀는데 보고 살짝 실망했어요깨끗한 상품 부탁드려요,2살 남아 점점 호기심이 많아져서 안전 제품들이 절실한 시기가 왔네요,,,,,
ANAL-211104-0181,0,0,사용,좋습니다,같아,옷을,걸수,2.11,1.98,1.47,1.45,1.4
ANAL-211104-0181,1,0,처음엔 불량제품이 와서 그 부분이 조금 아쉬웠습니다,또 가볍더라고요 약하지 않을가 하고 옷을 걸어봤는데 지탱 해주는 힘도 좋고 무엇보다 두군데에 걸수 있다는 점이 맘에 듭니다,행거가 부족해서 찾던중에 옷을 많이 걸수 있는 제품인거 같아 주문 했습니다,박스다째지고 부속품도 하나없어서 문의드렸는데 답변느려서 너무답답했어요,밑에 고정이안되서 자꾸벌어지네요,,,,,
ANAL-211104-0181,0,1,튼튼하고,같아,좋아요,,,1.56,1.18,0.94,,
ANAL-211104-0181,1,1,X자라서 불편하지 않을까 걱정했는데 되게 튼튼하고 옷도 많이 걸 수 있을 것 같아요,좋아요bbb생각보다 튼튼하고 길어서 원피스 걸고도 남았어요,길이가 서로 달라 옷을 분리해서 걸수있어 좋아요,,,,,,,
ANAL-211104-0087,0,0,좋아요,아기가,아이가,자꾸,너무,10.32,6.15,5.54,5.39,4.93
ANAL-211104-0087,1,0,원래 가스렌지 막는 용이지만 저는 셋톱박스가림용으로 샀어요,이제 21개월된 저희딸이 가스렌지 불켜진걸 보고 까치발로 서서 만지려는것 보고 급하게 샀습니다,좋습니다,오대만족 추천해요요리할때마다 항상 불안했는데 맘이편해졌어요,아기의 안전을 위해 샀어요,,,,,
ANAL-211104-0087,0,1,아이가,후기입니다,굉장히,구매,이벤트로,5.87,5.59,5.56,5.17,4.7
ANAL-211104-0087,1,1,쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다,더 좋았을것같어요사용 중에는 아주 맘에 듭니다어린아이가 있는 집에서는 안전을 위해 꼭 사용했음해요 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다,다른 분들처럼 상세하게 못해서 죄송합니다산가격이나 머 이런건 중요한거 같지않아서 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다,아이의안전을위해14개월 된 아이를 키우고 있는데키가 점점 커지면서 손을 뻗으면 가스레인지에 닿겠더라구요음식을 할때는 못오게 하면 되겠지만음식 다하고 나도 잔 열감이 있으니깐 손이라도 닿으면화상을 입겠다,간만의 득템 이에요아이가 있는 집 이라면 한번쯤 고민 하시고 현명한 선택 하시길 바래요 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다,,,,,
ANAL-211104-0114,0,0,있는데,너무,사용하고,같아,리필,2.5,1.18,1.14,1.04,0.99
ANAL-211104-0114,1,0,본품사면서 리필도 같이샀는데 양이 많아서 외출할때 걱정 안해도 될것 같아요,잘 쓰고 있는데 리필로 샀어요,,,,,,,,
ANAL-211104-0303,0,1,욕실,애들,스티커,,,2.18,1.0,0.83,,
