REVIEW_DOC_NO,ANAL_CODE,CLASSIFY,EMPATHY,EMPATHY_SCORE
RVD-220105-0043830,ANAL-211104-0154,디자인,만족,4
RVD-220105-0043829,ANAL-211104-0154,사용성,행복,5
RVD-220105-0043828,ANAL-211104-0154,사용성,즐거움,5
RVD-220105-0043827,ANAL-211104-0154,사용성,바람,4
RVD-220105-0043826,ANAL-211104-0154,사용성,만족,4
RVD-220105-0043824,ANAL-211104-0082,사용성,자신감,5
RVD-220105-0043823,ANAL-211104-0082,디자인,만족,4
RVD-220105-0043820,ANAL-211104-0067,사용성,만족,4
RVD-220105-0043819,ANAL-211104-0069,사용성,행복,5
RVD-220105-0043817,ANAL-211104-0127,사용성,고마움,4
RVD-220105-0043816,ANAL-211104-0153,디자인,행복,5
RVD-220105-0043815,ANAL-211104-0072,사용성,안타까움,2
RVD-220105-0043814,ANAL-211104-0072,디자인,만족,4
RVD-220105-0043813,ANAL-211104-0072,사용성,중립,3
RVD-220105-0043812,ANAL-211104-0072,사용성,만족,4
RVD-220105-0043811,ANAL-211104-0072,가격,중립,3
RVD-220105-0043810,ANAL-211104-0072,가격,만족,4
RVD-220105-0043809,ANAL-211104-0072,사용성,기쁨,5
RVD-220105-0043808,ANAL-211104-0072,사용성,슬픔,2
RVD-220105-0043807,ALL,재질,만족,4
RVD-220105-0043806,ALL,사용성,만족,4
RVD-220105-0043805,ANAL-211104-0147,사용성,고마움,4
RVD-220105-0043804,ANAL-211104-0151,사용성,중립,3
RVD-220105-0043803,ALL,가격,자신감,5
RVD-220105-0043802,ANAL-211104-0151,사용성,기쁨,5
RVD-220105-0043801,ANAL-211104-0147,디자인,만족,4
RVD-220105-0043800,ANAL-211104-0130,사용성,짜증남,1
RVD-220105-0043799,ANAL-211104-0146,사용성,중립,3
RVD-220105-0043798,ANAL-211104-0146,사용성,중립,3
